pose_key,score,object_px,object_py,object_pz,object_qx,object_qy,object_qz,object_qw
-108:38:8:53:-27:-74:32,0.908784,-0.539802,0.190646,0.038054,0.532023,-0.268523,-0.737642,0.317382
-115:35:8:47:37:-2:80,0.908784,-0.574677,0.175094,0.038054,0.467909,0.369071,-0.023448,0.802682
-122:29:19:1:-90:42:15,0.908784,-0.611058,0.145735,0.095402,0.013262,-0.897363,0.415100,0.149185
-120:14:8:11:59:51:62,0.908784,-0.602270,0.070794,0.038054,0.113699,0.585000,0.506044,0.623512
-119:-9:0:0:-1:88:48,0.908784,-0.595064,-0.042899,-0.000802,0.001590,-0.009329,0.875673,0.482812
-110:10:19:-79:-43:6:44,0.908784,-0.552243,0.049721,0.095402,-0.788391,-0.428806,0.060831,0.436880
-68:37:0:0:-1:92:39,0.908784,-0.340527,0.183513,-0.000802,0.002510,-0.009125,0.919329,0.393377
-103:-8:19:-48:76:-43:9,0.908784,-0.513263,-0.041819,0.095402,-0.480645,0.757902,-0.431825,0.089954
-81:11:0:-1:1:-100:3,0.908784,-0.406270,0.056106,-0.000802,-0.006117,0.007220,-0.999501,0.030152
-73:-7:19:-70:-56:14:42,0.908784,-0.362598,-0.036825,0.095402,-0.700040,-0.561587,0.137202,0.419214
-96:-35:8:16:57:45:66,0.908784,-0.482128,-0.176033,0.038054,0.163310,0.573134,0.450869,0.664504
-88:0:19:-75:49:-36:26,0.908784,-0.439675,0.000407,0.095402,-0.752254,0.489438,-0.355327,0.261357
-123:-19:19:-71:55:-38:23,0.908784,-0.615514,-0.093954,0.095402,-0.710305,0.548545,-0.375259,0.231831
-93:30:7:45:51:67:32,0.908784,-0.467022,0.150471,0.037001,0.447952,0.506726,0.665681,0.315335
-87:3:10:74:10:41:52,0.908784,-0.436165,0.013503,0.051398,0.744491,0.102409,0.408723,0.517872
-126:16:0:1:-1:100:8,0.908784,-0.629860,0.077768,-0.000802,0.005313,-0.007831,0.997022,0.076539
-66:5:8:39:-45:-80:1,0.908784,-0.328758,0.025185,0.038054,0.390694,-0.450012,-0.802895,0.014374
-108:38:8:53:-27:-74:32,0.919239,-0.539802,0.190646,0.038054,0.532023,-0.268523,-0.737642,0.317382
-115:35:8:47:37:-2:80,0.919239,-0.574677,0.175094,0.038054,0.467909,0.369071,-0.023448,0.802682
-122:29:19:1:-90:42:15,0.919239,-0.611058,0.145735,0.095402,0.013262,-0.897363,0.415100,0.149185
-120:14:8:11:59:51:62,0.919239,-0.602270,0.070794,0.038054,0.113699,0.585000,0.506044,0.623512
-119:-9:0:0:-1:88:48,0.919239,-0.595064,-0.042899,-0.000802,0.001590,-0.009329,0.875673,0.482812
-68:37:0:0:-1:92:39,0.919239,-0.340527,0.183513,-0.000802,0.002510,-0.009125,0.919329,0.393377
-103:-8:19:-48:76:-43:9,0.919239,-0.513263,-0.041819,0.095402,-0.480645,0.757902,-0.431825,0.089954
-87:-38:7:21:-64:-61:41,0.919239,-0.436182,-0.187871,0.037001,0.209335,-0.643127,-0.609511,0.413599
-81:11:0:-1:1:-100:3,0.919239,-0.406270,0.056106,-0.000802,-0.006117,0.007220,-0.999501,0.030152
-85:-4:7:34:-58:-51:54,0.919239,-0.423484,-0.022249,0.037001,0.343979,-0.582333,-0.505168,0.536071
-78:26:10:28:-70:-40:52,0.919239,-0.388364,0.128484,0.051398,0.284638,-0.695511,-0.399730,0.524844
-73:-7:19:-70:-56:14:42,0.919239,-0.362598,-0.036825,0.095402,-0.700040,-0.561587,0.137202,0.419214
-96:-35:8:16:57:45:66,0.919239,-0.482128,-0.176033,0.038054,0.163310,0.573134,0.450869,0.664504
-82:-38:8:-16:58:73:34,0.919239,-0.409961,-0.191119,0.038054,-0.155519,0.575297,0.728901,0.336974
-122:-47:10:-31:-68:-66:7,0.919239,-0.609488,-0.235692,0.051398,-0.312126,-0.683617,-0.656226,0.067920
-88:0:19:-75:49:-36:26,0.919239,-0.439675,0.000407,0.095402,-0.752254,0.489438,-0.355327,0.261357
-123:-19:19:-71:55:-38:23,0.919239,-0.615514,-0.093954,0.095402,-0.710305,0.548545,-0.375259,0.231831
